Item,Multiplier
Filet - Spicy Chicken,1
Jalapeno Ranch Club Spicy,1
Salad - Extra Spicy Filet,2
Salad - Market w/ Spicy Filet,1
Salad - Signature Cobb w/ Spicy Filet,1
Sandwich - Spicy Chicken,1
Sandwich - Spicy Dlx No Cheese,1
Sandwich - Spicy Dlx w/ American,1
Sandwich - Spicy Dlx w/ Colby Jack,1
Sandwich - Spicy Dlx w/ Pepper Jack,1
