Item,Multiplier
"Nugget, 1 Count",1
"Nuggets, 12 Count",12
"Nuggets, 30 Count",30
"Nuggets, 5 Count",5
"Nuggets, 8 Count",8
"OS - Nuggets , 8 Count",8
Salad - Extra Nuggets,16
Salad - Market w/ Nuggets,8
Salad - Signature Cobb w/ Nuggets,8
Salad - Spicy SW w/ Nuggets,8
